1594353780 INTERNAL *** MONITORD_STARTED ***
1594353779 INTERNAL *** DAGMAN_STARTED 1.0 ***
1594353783 create_dir_hello-world_0_local SUBMIT 2.0 local - 1
1594353784 create_dir_hello-world_0_local EXECUTE 2.0 local - 1
1594353786 create_dir_hello-world_0_local JOB_TERMINATED 2.0 local - 1
1594353788 create_dir_hello-world_0_local JOB_SUCCESS 0 local - 1
1594353788 create_dir_hello-world_0_local POST_SCRIPT_STARTED 2.0 local - 1
1594353788 create_dir_hello-world_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1594353793 create_dir_hello-world_0_local POST_SCRIPT_SUCCESS 0 local - 1
1594353798 stage_in_local_local_0_0 SUBMIT 3.0 local - 2
1594353800 stage_in_local_local_0_0 EXECUTE 3.0 local - 2
1594353803 stage_in_local_local_0_0 JOB_TERMINATED 3.0 local - 2
1594353803 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1594353803 stage_in_local_local_0_0 POST_SCRIPT_STARTED 3.0 local - 2
1594353803 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 3.0 local - 2
1594353808 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1594353813 echo_ID0000001 SUBMIT 4.0 condorpool - 3
1594353819 echo_ID0000001 EXECUTE 4.0 condorpool - 3
1594353820 echo_ID0000001 JOB_TERMINATED 4.0 condorpool - 3
1594353824 echo_ID0000001 JOB_SUCCESS 0 condorpool - 3
1594353824 echo_ID0000001 POST_SCRIPT_STARTED 4.0 condorpool - 3
1594353824 echo_ID0000001 POST_SCRIPT_TERMINATED 4.0 condorpool - 3
1594353829 echo_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 3
1594353834 clean_up_local_level_3_0 SUBMIT 5.0 local - 4
1594353834 stage_out_local_local_0_0 SUBMIT 6.0 local - 5
1594353838 stage_out_local_local_0_0 EXECUTE 6.0 local - 5
1594353838 clean_up_local_level_3_0 EXECUTE 5.0 local - 4
1594353840 clean_up_local_level_3_0 JOB_TERMINATED 5.0 local - 4
1594353844 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 4
1594353844 clean_up_local_level_3_0 POST_SCRIPT_STARTED 5.0 local - 4
1594353841 stage_out_local_local_0_0 JOB_TERMINATED 6.0 local - 5
1594353844 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 5
1594353844 stage_out_local_local_0_0 POST_SCRIPT_STARTED 6.0 local - 5
1594353844 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 5.0 local - 4
1594353849 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 4
1594353844 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 6.0 local - 5
1594353849 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1594353854 clean_up_local_level_4_0 SUBMIT 7.0 local - 6
1594353854 register_local_0_0 SUBMIT 8.0 local - 7
1594353855 register_local_0_0 EXECUTE 8.0 local - 7
1594353855 clean_up_local_level_4_0 EXECUTE 7.0 local - 6
1594353856 register_local_0_0 JOB_TERMINATED 8.0 local - 7
1594353859 register_local_0_0 JOB_SUCCESS 0 local - 7
1594353859 register_local_0_0 POST_SCRIPT_STARTED 8.0 local - 7
1594353857 clean_up_local_level_4_0 JOB_TERMINATED 7.0 local - 6
1594353859 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 6
1594353859 clean_up_local_level_4_0 POST_SCRIPT_STARTED 7.0 local - 6
1594353860 register_local_0_0 POST_SCRIPT_TERMINATED 8.0 local - 7
1594353864 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 7
1594353860 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 7.0 local - 6
1594353864 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 6
1594353869 cleanup_hello-world_0_local SUBMIT 9.0 local - 8
1594353870 cleanup_hello-world_0_local EXECUTE 9.0 local - 8
1594353872 cleanup_hello-world_0_local JOB_TERMINATED 9.0 local - 8
1594353874 cleanup_hello-world_0_local JOB_SUCCESS 0 local - 8
1594353874 cleanup_hello-world_0_local POST_SCRIPT_STARTED 9.0 local - 8
1594353874 cleanup_hello-world_0_local POST_SCRIPT_TERMINATED 9.0 local - 8
1594353879 cleanup_hello-world_0_local POST_SCRIPT_SUCCESS 0 local - 8
1594353879 INTERNAL *** DAGMAN_FINISHED 0 ***
1594353881 INTERNAL *** MONITORD_FINISHED 0 ***
