1594353962 INTERNAL *** MONITORD_STARTED ***
1594353961 INTERNAL *** DAGMAN_STARTED 10.0 ***
1594353965 create_dir_helloworld_0_local SUBMIT 11.0 local - 1
1594353966 create_dir_helloworld_0_local EXECUTE 11.0 local - 1
1594353968 create_dir_helloworld_0_local JOB_TERMINATED 11.0 local - 1
1594353970 create_dir_helloworld_0_local JOB_SUCCESS 0 local - 1
1594353970 create_dir_helloworld_0_local POST_SCRIPT_STARTED 11.0 local - 1
1594353970 create_dir_helloworld_0_local POST_SCRIPT_TERMINATED 11.0 local - 1
1594353975 create_dir_helloworld_0_local POST_SCRIPT_SUCCESS 0 local - 1
1594353980 echo_ID0000001 SUBMIT 12.0 condorpool - 2
1594353984 echo_ID0000001 EXECUTE 12.0 condorpool - 2
1594353985 echo_ID0000001 JOB_TERMINATED 12.0 condorpool - 2
1594353985 echo_ID0000001 JOB_SUCCESS 0 condorpool - 2
1594353985 echo_ID0000001 POST_SCRIPT_STARTED 12.0 condorpool - 2
1594353986 echo_ID0000001 POST_SCRIPT_TERMINATED 12.0 condorpool - 2
1594353990 echo_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 2
1594353995 stage_out_local_local_0_0 SUBMIT 13.0 local - 3
1594353998 stage_out_local_local_0_0 EXECUTE 13.0 local - 3
1594354000 stage_out_local_local_0_0 JOB_TERMINATED 13.0 local - 3
1594354005 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 3
1594354005 stage_out_local_local_0_0 POST_SCRIPT_STARTED 13.0 local - 3
1594354005 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 13.0 local - 3
1594354010 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1594354015 clean_up_local_level_3_0 SUBMIT 14.0 local - 4
1594354015 register_local_0_0 SUBMIT 15.0 local - 5
1594354020 register_local_0_0 EXECUTE 15.0 local - 5
1594354020 clean_up_local_level_3_0 EXECUTE 14.0 local - 4
1594354022 register_local_0_0 JOB_TERMINATED 15.0 local - 5
1594354025 register_local_0_0 JOB_SUCCESS 0 local - 5
1594354025 register_local_0_0 POST_SCRIPT_STARTED 15.0 local - 5
1594354022 clean_up_local_level_3_0 JOB_TERMINATED 14.0 local - 4
1594354025 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 4
1594354025 clean_up_local_level_3_0 POST_SCRIPT_STARTED 14.0 local - 4
1594354025 register_local_0_0 POST_SCRIPT_TERMINATED 15.0 local - 5
1594354030 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1594354025 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 14.0 local - 4
1594354030 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 4
1594354035 cleanup_helloworld_0_local SUBMIT 16.0 local - 6
1594354037 cleanup_helloworld_0_local EXECUTE 16.0 local - 6
1594354039 cleanup_helloworld_0_local JOB_TERMINATED 16.0 local - 6
1594354040 cleanup_helloworld_0_local JOB_SUCCESS 0 local - 6
1594354040 cleanup_helloworld_0_local POST_SCRIPT_STARTED 16.0 local - 6
1594354041 cleanup_helloworld_0_local POST_SCRIPT_TERMINATED 16.0 local - 6
1594354045 cleanup_helloworld_0_local POST_SCRIPT_SUCCESS 0 local - 6
1594354045 INTERNAL *** DAGMAN_FINISHED 0 ***
1594354046 INTERNAL *** MONITORD_FINISHED 0 ***
