1596843352 INTERNAL *** MONITORD_STARTED ***
1596843350 INTERNAL *** DAGMAN_STARTED 122.0 ***
1596843354 create_dir_Cats_and_Dogs_0_local SUBMIT 123.0 local - 1
1596843355 create_dir_Cats_and_Dogs_0_local EXECUTE 123.0 local - 1
1596843357 create_dir_Cats_and_Dogs_0_local JOB_TERMINATED 123.0 local - 1
1596843359 create_dir_Cats_and_Dogs_0_local JOB_SUCCESS 0 local - 1
1596843359 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_STARTED 123.0 local - 1
1596843359 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_TERMINATED 123.0 local - 1
1596843364 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_SUCCESS 0 local - 1
1596843369 stage_in_remote_local_2_0 SUBMIT 124.0 local - 2
1596843369 stage_in_remote_local_1_0 SUBMIT 125.0 local - 3
1596843369 stage_in_remote_local_0_0 SUBMIT 126.0 local - 4
1596843369 stage_in_local_local_0_0 SUBMIT 127.0 local - 5
1596843370 stage_in_remote_local_3_0 SUBMIT 128.0 local - 6
1596843372 stage_in_remote_local_2_0 EXECUTE 124.0 local - 2
1596843372 stage_in_local_local_0_0 EXECUTE 127.0 local - 5
1596843372 stage_in_remote_local_0_0 EXECUTE 126.0 local - 4
1596843372 stage_in_remote_local_1_0 EXECUTE 125.0 local - 3
1596843372 stage_in_remote_local_3_0 EXECUTE 128.0 local - 6
1596843374 stage_in_remote_local_2_0 JOB_TERMINATED 124.0 local - 2
1596843375 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1596843375 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 124.0 local - 2
1596843374 stage_in_remote_local_0_0 JOB_TERMINATED 126.0 local - 4
1596843375 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1596843375 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 126.0 local - 4
1596843374 stage_in_remote_local_3_0 JOB_TERMINATED 128.0 local - 6
1596843375 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 6
1596843375 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 128.0 local - 6
1596843374 stage_in_remote_local_1_0 JOB_TERMINATED 125.0 local - 3
1596843375 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1596843375 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 125.0 local - 3
1596843375 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 124.0 local - 2
1596843380 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1596843375 stage_in_remote_local_3_0 POST_SCRIPT_TERMINATED 128.0 local - 6
