1600111867 INTERNAL *** MONITORD_STARTED ***
1600111865 INTERNAL *** DAGMAN_STARTED 79.0 ***
1600111869 create_dir_Cats_and_Dogs_0_local SUBMIT 80.0 local - 1
1600111870 create_dir_Cats_and_Dogs_0_local EXECUTE 80.0 local - 1
1600111872 create_dir_Cats_and_Dogs_0_local JOB_TERMINATED 80.0 local - 1
1600111874 create_dir_Cats_and_Dogs_0_local JOB_SUCCESS 0 local - 1
1600111874 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_STARTED 80.0 local - 1
1600111875 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_TERMINATED 80.0 local - 1
1600111879 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_SUCCESS 0 local - 1
1600111884 stage_in_remote_local_2_0 SUBMIT 81.0 local - 2
1600111884 stage_in_remote_local_1_0 SUBMIT 82.0 local - 3
1600111884 stage_in_remote_local_0_0 SUBMIT 83.0 local - 4
1600111884 stage_in_local_local_4_0 SUBMIT 84.0 local - 5
1600111884 stage_in_local_local_0_0 SUBMIT 85.0 local - 6
1600111884 stage_in_remote_local_4_0 SUBMIT 86.0 local - 7
1600111884 stage_in_remote_local_3_0 SUBMIT 87.0 local - 8
1600111886 stage_in_remote_local_2_0 EXECUTE 81.0 local - 2
1600111886 stage_in_remote_local_1_0 EXECUTE 82.0 local - 3
1600111886 stage_in_remote_local_0_0 EXECUTE 83.0 local - 4
1600111886 stage_in_local_local_4_0 EXECUTE 84.0 local - 5
1600111886 stage_in_local_local_0_0 EXECUTE 85.0 local - 6
1600111886 stage_in_remote_local_4_0 EXECUTE 86.0 local - 7
1600111886 stage_in_remote_local_3_0 EXECUTE 87.0 local - 8
1600111888 stage_in_remote_local_3_0 JOB_TERMINATED 87.0 local - 8
1600111889 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 8
1600111889 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 87.0 local - 8
1600111888 stage_in_remote_local_1_0 JOB_TERMINATED 82.0 local - 3
1600111889 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1600111889 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 82.0 local - 3
1600111888 stage_in_local_local_4_0 JOB_TERMINATED 84.0 local - 5
1600111889 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 5
1600111889 stage_in_local_local_4_0 POST_SCRIPT_STARTED 84.0 local - 5
1600111888 stage_in_remote_local_0_0 JOB_TERMINATED 83.0 local - 4
1600111889 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1600111889 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 83.0 local - 4
1600111888 stage_in_remote_local_2_0 JOB_TERMINATED 81.0 local - 2
1600111889 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1600111889 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 81.0 local - 2
