1600971043 INTERNAL *** MONITORD_STARTED ***
1600971040 INTERNAL *** DAGMAN_STARTED 568.0 ***
1600971044 stage_out_local_local_1000_0 SUBMIT 569.0 local - 1
1600971044 create_dir_Cats_and_Dogs_0_local SUBMIT 570.0 local - 2
1600971045 create_dir_Cats_and_Dogs_0_local EXECUTE 570.0 local - 2
1600971045 stage_out_local_local_1000_0 EXECUTE 569.0 local - 1
1600971047 create_dir_Cats_and_Dogs_0_local JOB_TERMINATED 570.0 local - 2
1600971049 create_dir_Cats_and_Dogs_0_local JOB_SUCCESS 0 local - 2
1600971049 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_STARTED 570.0 local - 2
1600971047 stage_out_local_local_1000_0 JOB_TERMINATED 569.0 local - 1
1600971049 stage_out_local_local_1000_0 JOB_SUCCESS 0 local - 1
1600971049 stage_out_local_local_1000_0 POST_SCRIPT_STARTED 569.0 local - 1
1600971050 stage_out_local_local_1000_0 POST_SCRIPT_TERMINATED 569.0 local - 1
1600971054 stage_out_local_local_1000_0 POST_SCRIPT_SUCCESS 0 local - 1
1600971050 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_TERMINATED 570.0 local - 2
1600971054 create_dir_Cats_and_Dogs_0_local POST_SCRIPT_SUCCESS 0 local - 2
1600971059 stage_in_remote_local_2_0 SUBMIT 571.0 local - 3
1600971059 stage_in_remote_local_1_0 SUBMIT 572.0 local - 4
1600971059 stage_in_remote_local_0_0 SUBMIT 573.0 local - 5
1600971059 stage_in_local_local_0_0 SUBMIT 574.0 local - 6
1600971059 stage_in_remote_local_3_0 SUBMIT 575.0 local - 7
1600971059 register_local_1000_0 SUBMIT 576.0 local - 8
1600971061 stage_in_remote_local_0_0 EXECUTE 573.0 local - 5
1600971061 register_local_1000_0 EXECUTE 576.0 local - 8
1600971061 stage_in_remote_local_1_0 EXECUTE 572.0 local - 4
1600971061 stage_in_remote_local_3_0 EXECUTE 575.0 local - 7
1600971061 stage_in_remote_local_2_0 EXECUTE 571.0 local - 3
1600971061 stage_in_local_local_0_0 EXECUTE 574.0 local - 6
1600971064 stage_in_remote_local_0_0 JOB_TERMINATED 573.0 local - 5
1600971064 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 5
1600971064 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 573.0 local - 5
1600971064 stage_in_remote_local_3_0 JOB_TERMINATED 575.0 local - 7
1600971064 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 7
1600971064 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 575.0 local - 7
1600971064 stage_in_remote_local_1_0 JOB_TERMINATED 572.0 local - 4
1600971064 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 4
1600971064 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 572.0 local - 4
1600971064 stage_in_remote_local_2_0 JOB_TERMINATED 571.0 local - 3
1600971064 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 3
1600971064 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 571.0 local - 3
1600971064 register_local_1000_0 JOB_TERMINATED 576.0 local - 8
1600971064 register_local_1000_0 JOB_SUCCESS 0 local - 8
1600971064 register_local_1000_0 POST_SCRIPT_STARTED 576.0 local - 8
1600971065 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 573.0 local - 5
1600971069 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1600971065 stage_in_remote_local_3_0 POST_SCRIPT_TERMINATED 575.0 local - 7
1600971069 stage_in_remote_local_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1600971065 register_local_1000_0 POST_SCRIPT_TERMINATED 576.0 local - 8
1600971069 register_local_1000_0 POST_SCRIPT_SUCCESS 0 local - 8
1600971065 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 571.0 local - 3
1600971069 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 3
1600971065 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 572.0 local - 4
1600971069 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 4
1600971068 stage_in_local_local_0_0 JOB_TERMINATED 574.0 local - 6
1600971069 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 6
1600971069 stage_in_local_local_0_0 POST_SCRIPT_STARTED 574.0 local - 6
1600971069 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 574.0 local - 6
1600971074 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 6
1600971079 preprocess1_py_ID0000001 SUBMIT 577.0 condorpool - 9
1600971087 preprocess1_py_ID0000001 EXECUTE 577.0 condorpool - 9
1600971092 preprocess1_py_ID0000001 JOB_TERMINATED 577.0 condorpool - 9
1600971095 preprocess1_py_ID0000001 JOB_SUCCESS 0 condorpool - 9
1600971095 preprocess1_py_ID0000001 POST_SCRIPT_STARTED 577.0 condorpool - 9
1600971095 preprocess1_py_ID0000001 POST_SCRIPT_TERMINATED 577.0 condorpool - 9
1600971100 preprocess1_py_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 9
1600971105 clean_up_local_level_3_0 SUBMIT 578.0 local - 10
1600971105 stage_out_local_local_0_0 SUBMIT 579.0 local - 11
1600971105 Augmentation_py_ID0000002 SUBMIT 580.0 condorpool - 12
1600971106 stage_out_local_local_0_0 EXECUTE 579.0 local - 11
1600971106 clean_up_local_level_3_0 EXECUTE 578.0 local - 10
1600971107 Augmentation_py_ID0000002 EXECUTE 580.0 condorpool - 12
1600971112 Augmentation_py_ID0000002 JOB_TERMINATED 580.0 condorpool - 12
1600971115 Augmentation_py_ID0000002 JOB_SUCCESS 0 condorpool - 12
1600971115 Augmentation_py_ID0000002 POST_SCRIPT_STARTED 580.0 condorpool - 12
1600971112 stage_out_local_local_0_0 JOB_TERMINATED 579.0 local - 11
1600971115 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 11
