1595444411 INTERNAL *** MONITORD_STARTED ***
1595444409 INTERNAL *** DAGMAN_STARTED 1.0 ***
1595444413 create_dir_helloworld_0_local SUBMIT 2.0 local - 1
1595444414 create_dir_helloworld_0_local EXECUTE 2.0 local - 1
1595444416 create_dir_helloworld_0_local JOB_TERMINATED 2.0 local - 1
1595444418 create_dir_helloworld_0_local JOB_SUCCESS 0 local - 1
1595444418 create_dir_helloworld_0_local POST_SCRIPT_STARTED 2.0 local - 1
1595444418 create_dir_helloworld_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1595444423 create_dir_helloworld_0_local POST_SCRIPT_SUCCESS 0 local - 1
1595444429 echo_ID0000001 SUBMIT 3.0 condorpool - 2
1595444435 echo_ID0000001 EXECUTE 3.0 condorpool - 2
1595444436 echo_ID0000001 JOB_TERMINATED 3.0 condorpool - 2
1595444439 echo_ID0000001 JOB_SUCCESS 0 condorpool - 2
1595444439 echo_ID0000001 POST_SCRIPT_STARTED 3.0 condorpool - 2
1595444439 echo_ID0000001 POST_SCRIPT_TERMINATED 3.0 condorpool - 2
1595444444 echo_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 2
1595444449 stage_out_local_local_0_0 SUBMIT 4.0 local - 3
1595444451 stage_out_local_local_0_0 EXECUTE 4.0 local - 3
1595444453 stage_out_local_local_0_0 JOB_TERMINATED 4.0 local - 3
1595444454 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 3
1595444454 stage_out_local_local_0_0 POST_SCRIPT_STARTED 4.0 local - 3
1595444454 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 4.0 local - 3
1595444459 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1595444464 clean_up_local_level_3_0 SUBMIT 5.0 local - 4
1595444464 register_local_0_0 SUBMIT 6.0 local - 5
1595444468 register_local_0_0 EXECUTE 6.0 local - 5
1595444468 clean_up_local_level_3_0 EXECUTE 5.0 local - 4
1595444470 clean_up_local_level_3_0 JOB_TERMINATED 5.0 local - 4
1595444474 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 4
1595444474 clean_up_local_level_3_0 POST_SCRIPT_STARTED 5.0 local - 4
1595444470 register_local_0_0 JOB_TERMINATED 6.0 local - 5
1595444474 register_local_0_0 JOB_SUCCESS 0 local - 5
1595444474 register_local_0_0 POST_SCRIPT_STARTED 6.0 local - 5
1595444475 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 5.0 local - 4
1595444479 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 4
1595444475 register_local_0_0 POST_SCRIPT_TERMINATED 6.0 local - 5
1595444479 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1595444484 cleanup_helloworld_0_local SUBMIT 7.0 local - 6
1595444489 cleanup_helloworld_0_local EXECUTE 7.0 local - 6
1595444491 cleanup_helloworld_0_local JOB_TERMINATED 7.0 local - 6
1595444494 cleanup_helloworld_0_local JOB_SUCCESS 0 local - 6
1595444494 cleanup_helloworld_0_local POST_SCRIPT_STARTED 7.0 local - 6
1595444494 cleanup_helloworld_0_local POST_SCRIPT_TERMINATED 7.0 local - 6
1595444499 cleanup_helloworld_0_local POST_SCRIPT_SUCCESS 0 local - 6
1595444499 INTERNAL *** DAGMAN_FINISHED 0 ***
1595444501 INTERNAL *** MONITORD_FINISHED 0 ***
