1594534158 INTERNAL *** MONITORD_STARTED ***
1594534156 INTERNAL *** DAGMAN_STARTED 8.0 ***
1594534160 create_dir_Increment_0_local SUBMIT 9.0 local - 1
1594534161 create_dir_Increment_0_local EXECUTE 9.0 local - 1
1594534163 create_dir_Increment_0_local JOB_TERMINATED 9.0 local - 1
1594534165 create_dir_Increment_0_local JOB_SUCCESS 0 local - 1
1594534165 create_dir_Increment_0_local POST_SCRIPT_STARTED 9.0 local - 1
1594534166 create_dir_Increment_0_local POST_SCRIPT_TERMINATED 9.0 local - 1
1594534170 create_dir_Increment_0_local POST_SCRIPT_SUCCESS 0 local - 1
1594534175 stage_in_remote_local_0_0 SUBMIT 10.0 local - 2
1594534175 stage_in_local_local_0_0 SUBMIT 11.0 local - 3
1594534177 stage_in_remote_local_0_0 EXECUTE 10.0 local - 2
1594534177 stage_in_local_local_0_0 EXECUTE 11.0 local - 3
1594534179 stage_in_remote_local_0_0 JOB_TERMINATED 10.0 local - 2
1594534180 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 2
1594534180 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 10.0 local - 2
1594534179 stage_in_local_local_0_0 JOB_TERMINATED 11.0 local - 3
1594534180 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 3
1594534180 stage_in_local_local_0_0 POST_SCRIPT_STARTED 11.0 local - 3
1594534180 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 11.0 local - 3
1594534185 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1594534180 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 10.0 local - 2
1594534185 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1594534190 increment_py_ID0000001 SUBMIT 12.0 condorpool - 4
1594534195 increment_py_ID0000001 EXECUTE 12.0 condorpool - 4
1594534196 increment_py_ID0000001 JOB_TERMINATED 12.0 condorpool - 4
1594534200 increment_py_ID0000001 JOB_FAILURE 1 condorpool - 4
1594534200 increment_py_ID0000001 POST_SCRIPT_STARTED 12.0 condorpool - 4
1594534200 increment_py_ID0000001 POST_SCRIPT_TERMINATED 12.0 condorpool - 4
1594534205 increment_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 4
1594534210 increment_py_ID0000001 SUBMIT 13.0 condorpool - 5
1594534212 increment_py_ID0000001 EXECUTE 13.0 condorpool - 5
1594534213 increment_py_ID0000001 JOB_TERMINATED 13.0 condorpool - 5
1594534215 increment_py_ID0000001 JOB_FAILURE 1 condorpool - 5
1594534215 increment_py_ID0000001 POST_SCRIPT_STARTED 13.0 condorpool - 5
1594534216 increment_py_ID0000001 POST_SCRIPT_TERMINATED 13.0 condorpool - 5
1594534220 increment_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 5
1594534225 increment_py_ID0000001 SUBMIT 14.0 condorpool - 6
1594534226 increment_py_ID0000001 EXECUTE 14.0 condorpool - 6
1594534227 increment_py_ID0000001 JOB_TERMINATED 14.0 condorpool - 6
1594534230 increment_py_ID0000001 JOB_FAILURE 1 condorpool - 6
1594534230 increment_py_ID0000001 POST_SCRIPT_STARTED 14.0 condorpool - 6
1594534230 increment_py_ID0000001 POST_SCRIPT_TERMINATED 14.0 condorpool - 6
1594534235 increment_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 6
1594534235 INTERNAL *** DAGMAN_FINISHED 1 ***
1594534237 INTERNAL *** MONITORD_FINISHED 0 ***
