1594669895 INTERNAL *** MONITORD_STARTED ***
1594669893 INTERNAL *** DAGMAN_STARTED 25.0 ***
1594669897 create_dir_Even_Odd_0_local SUBMIT 26.0 local - 1
1594669898 create_dir_Even_Odd_0_local EXECUTE 26.0 local - 1
1594669900 create_dir_Even_Odd_0_local JOB_TERMINATED 26.0 local - 1
1594669902 create_dir_Even_Odd_0_local JOB_SUCCESS 0 local - 1
1594669902 create_dir_Even_Odd_0_local POST_SCRIPT_STARTED 26.0 local - 1
1594669902 create_dir_Even_Odd_0_local POST_SCRIPT_TERMINATED 26.0 local - 1
1594669907 create_dir_Even_Odd_0_local POST_SCRIPT_SUCCESS 0 local - 1
1594669913 stage_in_remote_local_1_0 SUBMIT 27.0 local - 2
1594669913 stage_in_remote_local_0_0 SUBMIT 28.0 local - 3
1594669913 stage_in_local_local_0_0 SUBMIT 29.0 local - 4
1594669918 stage_in_remote_local_1_0 EXECUTE 27.0 local - 2
1594669918 stage_in_local_local_0_0 EXECUTE 29.0 local - 4
1594669918 stage_in_remote_local_0_0 EXECUTE 28.0 local - 3
1594669920 stage_in_remote_local_1_0 JOB_TERMINATED 27.0 local - 2
1594669923 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 2
1594669923 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 27.0 local - 2
1594669922 stage_in_local_local_0_0 JOB_TERMINATED 29.0 local - 4
1594669923 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 4
1594669923 stage_in_local_local_0_0 POST_SCRIPT_STARTED 29.0 local - 4
1594669923 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 27.0 local - 2
1594669928 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 2
1594669923 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 29.0 local - 4
1594669928 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1594670363 stage_in_remote_local_0_0 JOB_TERMINATED 28.0 local - 3
1594670363 stage_in_remote_local_0_0 JOB_FAILURE 1 local - 3
1594670363 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 28.0 local - 3
1594670364 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 28.0 local - 3
1594670368 stage_in_remote_local_0_0 POST_SCRIPT_FAILURE 1 local - 3
1594670373 stage_in_remote_local_0_0 SUBMIT 31.0 local - 5
1594670378 stage_in_remote_local_0_0 EXECUTE 31.0 local - 5
1594670819 stage_in_remote_local_0_0 JOB_TERMINATED 31.0 local - 5
1594670823 stage_in_remote_local_0_0 JOB_FAILURE 1 local - 5
1594670823 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 31.0 local - 5
1594670823 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 31.0 local - 5
1594670828 stage_in_remote_local_0_0 POST_SCRIPT_FAILURE 1 local - 5
1594670828 INTERNAL *** DAGMAN_FINISHED 1 ***
1594670830 INTERNAL *** MONITORD_FINISHED 0 ***
