1594922003 INTERNAL *** MONITORD_STARTED ***
1594922001 INTERNAL *** DAGMAN_STARTED 63.0 ***
1594922005 create_dir_add_thumbs_0_local SUBMIT 64.0 local - 1
1594922006 create_dir_add_thumbs_0_local EXECUTE 64.0 local - 1
1594922008 create_dir_add_thumbs_0_local JOB_TERMINATED 64.0 local - 1
1594922010 create_dir_add_thumbs_0_local JOB_SUCCESS 0 local - 1
1594922010 create_dir_add_thumbs_0_local POST_SCRIPT_STARTED 64.0 local - 1
1594922010 create_dir_add_thumbs_0_local POST_SCRIPT_TERMINATED 64.0 local - 1
1594922015 create_dir_add_thumbs_0_local POST_SCRIPT_SUCCESS 0 local - 1
1594922020 stage_in_local_local_0_0 SUBMIT 65.0 local - 2
1594922022 stage_in_local_local_0_0 EXECUTE 65.0 local - 2
1594922048 stage_in_local_local_0_0 JOB_TERMINATED 65.0 local - 2
1594922050 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1594922050 stage_in_local_local_0_0 POST_SCRIPT_STARTED 65.0 local - 2
1594922051 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 65.0 local - 2
1594922055 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1594922060 Thumbs_up_ID0000001 SUBMIT 66.0 condorpool - 3
1594922070 Thumbs_up_ID0000001 EXECUTE 66.0 condorpool - 3
1594922076 Thumbs_up_ID0000001 JOB_TERMINATED 66.0 condorpool - 3
1594922080 Thumbs_up_ID0000001 JOB_SUCCESS 0 condorpool - 3
1594922080 Thumbs_up_ID0000001 POST_SCRIPT_STARTED 66.0 condorpool - 3
1594922080 Thumbs_up_ID0000001 POST_SCRIPT_TERMINATED 66.0 condorpool - 3
1594922085 Thumbs_up_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 3
1594922090 clean_up_local_level_3_0 SUBMIT 67.0 local - 4
1594922090 stage_out_local_local_0_0 SUBMIT 68.0 local - 5
1594922094 stage_out_local_local_0_0 EXECUTE 68.0 local - 5
1594922094 clean_up_local_level_3_0 EXECUTE 67.0 local - 4
1594922096 stage_out_local_local_0_0 JOB_TERMINATED 68.0 local - 5
1594922100 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 5
1594922100 stage_out_local_local_0_0 POST_SCRIPT_STARTED 68.0 local - 5
1594922098 clean_up_local_level_3_0 JOB_TERMINATED 67.0 local - 4
1594922100 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 4
1594922100 clean_up_local_level_3_0 POST_SCRIPT_STARTED 67.0 local - 4
1594922100 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 68.0 local - 5
1594922105 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1594922100 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 67.0 local - 4
1594922105 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 4
1594922110 clean_up_local_level_4_0 SUBMIT 69.0 local - 6
1594922110 register_local_0_0 SUBMIT 70.0 local - 7
1594922116 register_local_0_0 EXECUTE 70.0 local - 7
1594922116 clean_up_local_level_4_0 EXECUTE 69.0 local - 6
1594922118 clean_up_local_level_4_0 JOB_TERMINATED 69.0 local - 6
1594922120 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 6
1594922120 clean_up_local_level_4_0 POST_SCRIPT_STARTED 69.0 local - 6
1594922118 register_local_0_0 JOB_TERMINATED 70.0 local - 7
1594922120 register_local_0_0 JOB_SUCCESS 0 local - 7
1594922120 register_local_0_0 POST_SCRIPT_STARTED 70.0 local - 7
1594922121 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 69.0 local - 6
1594922125 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 6
1594922121 register_local_0_0 POST_SCRIPT_TERMINATED 70.0 local - 7
1594922125 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 7
1594922130 cleanup_add_thumbs_0_local SUBMIT 71.0 local - 8
1594922131 cleanup_add_thumbs_0_local EXECUTE 71.0 local - 8
1594922134 cleanup_add_thumbs_0_local JOB_TERMINATED 71.0 local - 8
1594922135 cleanup_add_thumbs_0_local JOB_SUCCESS 0 local - 8
1594922135 cleanup_add_thumbs_0_local POST_SCRIPT_STARTED 71.0 local - 8
1594922135 cleanup_add_thumbs_0_local POST_SCRIPT_TERMINATED 71.0 local - 8
1594922140 cleanup_add_thumbs_0_local POST_SCRIPT_SUCCESS 0 local - 8
1594922140 INTERNAL *** DAGMAN_FINISHED 0 ***
1594922142 INTERNAL *** MONITORD_FINISHED 0 ***
