1595280140 INTERNAL *** MONITORD_STARTED ***
1595280137 INTERNAL *** DAGMAN_STARTED 92.0 ***
1595280142 create_dir_checkpoint-wf_0_local SUBMIT 93.0 local - 1
1595280143 create_dir_checkpoint-wf_0_local EXECUTE 93.0 local - 1
1595280145 create_dir_checkpoint-wf_0_local JOB_TERMINATED 93.0 local - 1
1595280147 create_dir_checkpoint-wf_0_local JOB_SUCCESS 0 local - 1
1595280147 create_dir_checkpoint-wf_0_local POST_SCRIPT_STARTED 93.0 local - 1
1595280147 create_dir_checkpoint-wf_0_local POST_SCRIPT_TERMINATED 93.0 local - 1
1595280152 create_dir_checkpoint-wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1595280157 stage_in_remote_local_0_0 SUBMIT 94.0 local - 2
1595280157 stage_in_local_local_0_0 SUBMIT 95.0 local - 3
1595280159 stage_in_remote_local_0_0 EXECUTE 94.0 local - 2
1595280159 stage_in_local_local_0_0 EXECUTE 95.0 local - 3
1595280161 stage_in_remote_local_0_0 JOB_TERMINATED 94.0 local - 2
1595280162 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 2
1595280162 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 94.0 local - 2
1595280161 stage_in_local_local_0_0 JOB_TERMINATED 95.0 local - 3
1595280162 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 3
1595280162 stage_in_local_local_0_0 POST_SCRIPT_STARTED 95.0 local - 3
1595280162 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 95.0 local - 3
1595280167 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1595280162 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 94.0 local - 2
1595280167 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1595280172 print_nums1_py_ID0000001 SUBMIT 96.0 condorpool - 4
1595280177 print_nums1_py_ID0000001 EXECUTE 96.0 condorpool - 4
1595280268 print_nums1_py_ID0000001 JOB_TERMINATED 96.0 condorpool - 4
1595280272 print_nums1_py_ID0000001 JOB_FAILURE 14 condorpool - 4
1595280272 print_nums1_py_ID0000001 POST_SCRIPT_STARTED 96.0 condorpool - 4
1595280273 print_nums1_py_ID0000001 POST_SCRIPT_TERMINATED 96.0 condorpool - 4
1595280277 print_nums1_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 4
1595280282 print_nums1_py_ID0000001 SUBMIT 97.0 condorpool - 5
1595280283 print_nums1_py_ID0000001 EXECUTE 97.0 condorpool - 5
1595280374 print_nums1_py_ID0000001 JOB_TERMINATED 97.0 condorpool - 5
1595280377 print_nums1_py_ID0000001 JOB_FAILURE 14 condorpool - 5
1595280377 print_nums1_py_ID0000001 POST_SCRIPT_STARTED 97.0 condorpool - 5
1595280377 print_nums1_py_ID0000001 POST_SCRIPT_TERMINATED 97.0 condorpool - 5
1595280382 print_nums1_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 5
1595280387 print_nums1_py_ID0000001 SUBMIT 98.0 condorpool - 6
1595280389 print_nums1_py_ID0000001 EXECUTE 98.0 condorpool - 6
1595280449 print_nums1_py_ID0000001 JOB_TERMINATED 98.0 condorpool - 6
1595280452 print_nums1_py_ID0000001 JOB_SUCCESS 0 condorpool - 6
1595280452 print_nums1_py_ID0000001 POST_SCRIPT_STARTED 98.0 condorpool - 6
1595280452 print_nums1_py_ID0000001 POST_SCRIPT_TERMINATED 98.0 condorpool - 6
1595280457 print_nums1_py_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 6
1595280463 clean_up_local_level_3_0 SUBMIT 99.0 local - 7
1595280463 clean_up_local_level_3_0 EXECUTE 99.0 local - 7
1595280463 stage_out_local_local_0_0 SUBMIT 100.0 local - 8
1595280465 clean_up_local_level_3_0 JOB_TERMINATED 99.0 local - 7
1595280468 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1595280468 clean_up_local_level_3_0 POST_SCRIPT_STARTED 99.0 local - 7
1595280465 stage_out_local_local_0_0 EXECUTE 100.0 local - 8
1595280468 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 99.0 local - 7
1595280473 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1595280469 stage_out_local_local_0_0 JOB_TERMINATED 100.0 local - 8
1595280473 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 8
1595280473 stage_out_local_local_0_0 POST_SCRIPT_STARTED 100.0 local - 8
1595280473 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 100.0 local - 8
1595280478 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 8
1595280483 clean_up_local_level_4_0 SUBMIT 101.0 local - 9
1595280483 register_local_0_0 SUBMIT 102.0 local - 10
1595280485 register_local_0_0 EXECUTE 102.0 local - 10
1595280485 clean_up_local_level_4_0 EXECUTE 101.0 local - 9
1595280488 register_local_0_0 JOB_TERMINATED 102.0 local - 10
1595280488 register_local_0_0 JOB_SUCCESS 0 local - 10
1595280488 register_local_0_0 POST_SCRIPT_STARTED 102.0 local - 10
1595280489 register_local_0_0 POST_SCRIPT_TERMINATED 102.0 local - 10
1595280493 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 10
