1594670375 INTERNAL *** MONITORD_STARTED ***
1594670373 INTERNAL *** DAGMAN_STARTED 30.0 ***
1594670377 create_dir_Even_Odd_0_local SUBMIT 32.0 local - 1
1594670378 create_dir_Even_Odd_0_local EXECUTE 32.0 local - 1
1594670380 create_dir_Even_Odd_0_local JOB_TERMINATED 32.0 local - 1
1594670382 create_dir_Even_Odd_0_local JOB_SUCCESS 0 local - 1
1594670382 create_dir_Even_Odd_0_local POST_SCRIPT_STARTED 32.0 local - 1
1594670382 create_dir_Even_Odd_0_local POST_SCRIPT_TERMINATED 32.0 local - 1
1594670387 create_dir_Even_Odd_0_local POST_SCRIPT_SUCCESS 0 local - 1
1594670392 stage_in_remote_local_1_0 SUBMIT 33.0 local - 2
1594670392 stage_in_remote_local_0_0 SUBMIT 34.0 local - 3
1594670393 stage_in_local_local_0_0 SUBMIT 35.0 local - 4
1594670395 stage_in_remote_local_1_0 EXECUTE 33.0 local - 2
1594670395 stage_in_remote_local_0_0 EXECUTE 34.0 local - 3
1594670395 stage_in_local_local_0_0 EXECUTE 35.0 local - 4
1594670397 stage_in_remote_local_1_0 JOB_TERMINATED 33.0 local - 2
1594670398 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 2
1594670398 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 33.0 local - 2
1594670398 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 33.0 local - 2
1594670403 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 2
1594670399 stage_in_local_local_0_0 JOB_TERMINATED 35.0 local - 4
1594670403 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 4
1594670403 stage_in_local_local_0_0 POST_SCRIPT_STARTED 35.0 local - 4
1594670403 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 35.0 local - 4
1594670408 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1594670835 stage_in_remote_local_0_0 JOB_TERMINATED 34.0 local - 3
1594670838 stage_in_remote_local_0_0 JOB_FAILURE 1 local - 3
1594670838 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 34.0 local - 3
1594670839 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 34.0 local - 3
1594670843 stage_in_remote_local_0_0 POST_SCRIPT_FAILURE 1 local - 3
1594670848 stage_in_remote_local_0_0 SUBMIT 55.0 local - 5
1594670848 stage_in_remote_local_0_0 EXECUTE 55.0 local - 5
