1594428498 INTERNAL *** MONITORD_STARTED ***
1594428496 INTERNAL *** DAGMAN_STARTED 1.0 ***
1594428500 create_dir_helloworld_0_local SUBMIT 2.0 local - 1
1594428501 create_dir_helloworld_0_local EXECUTE 2.0 local - 1
1594428503 create_dir_helloworld_0_local JOB_TERMINATED 2.0 local - 1
1594428505 create_dir_helloworld_0_local JOB_SUCCESS 0 local - 1
1594428505 create_dir_helloworld_0_local POST_SCRIPT_STARTED 2.0 local - 1
1594428505 create_dir_helloworld_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1594428510 create_dir_helloworld_0_local POST_SCRIPT_SUCCESS 0 local - 1
1594428515 echo_ID0000001 SUBMIT 3.0 condorpool - 2
1594428521 echo_ID0000001 EXECUTE 3.0 condorpool - 2
1594428522 echo_ID0000001 JOB_TERMINATED 3.0 condorpool - 2
1594428525 echo_ID0000001 JOB_SUCCESS 0 condorpool - 2
1594428525 echo_ID0000001 POST_SCRIPT_STARTED 3.0 condorpool - 2
1594428526 echo_ID0000001 POST_SCRIPT_TERMINATED 3.0 condorpool - 2
1594428530 echo_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 2
1594428535 stage_out_local_local_0_0 SUBMIT 4.0 local - 3
1594428540 stage_out_local_local_0_0 EXECUTE 4.0 local - 3
1594428542 stage_out_local_local_0_0 JOB_TERMINATED 4.0 local - 3
1594428545 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 3
1594428545 stage_out_local_local_0_0 POST_SCRIPT_STARTED 4.0 local - 3
1594428545 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 4.0 local - 3
1594428550 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1594428555 clean_up_local_level_3_0 SUBMIT 5.0 local - 4
1594428555 register_local_0_0 SUBMIT 6.0 local - 5
1594428556 register_local_0_0 EXECUTE 6.0 local - 5
1594428556 clean_up_local_level_3_0 EXECUTE 5.0 local - 4
1594428558 register_local_0_0 JOB_TERMINATED 6.0 local - 5
1594428560 register_local_0_0 JOB_SUCCESS 0 local - 5
1594428560 register_local_0_0 POST_SCRIPT_STARTED 6.0 local - 5
1594428558 clean_up_local_level_3_0 JOB_TERMINATED 5.0 local - 4
1594428560 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 4
1594428560 clean_up_local_level_3_0 POST_SCRIPT_STARTED 5.0 local - 4
1594428560 register_local_0_0 POST_SCRIPT_TERMINATED 6.0 local - 5
1594428565 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1594428560 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 5.0 local - 4
1594428565 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 4
1594428570 cleanup_helloworld_0_local SUBMIT 7.0 local - 6
1594428572 cleanup_helloworld_0_local EXECUTE 7.0 local - 6
1594428574 cleanup_helloworld_0_local JOB_TERMINATED 7.0 local - 6
1594428575 cleanup_helloworld_0_local JOB_SUCCESS 0 local - 6
1594428575 cleanup_helloworld_0_local POST_SCRIPT_STARTED 7.0 local - 6
1594428576 cleanup_helloworld_0_local POST_SCRIPT_TERMINATED 7.0 local - 6
1594428580 cleanup_helloworld_0_local POST_SCRIPT_SUCCESS 0 local - 6
1594428580 INTERNAL *** DAGMAN_FINISHED 0 ***
1594428581 INTERNAL *** MONITORD_FINISHED 0 ***
