1594534371 INTERNAL *** MONITORD_STARTED ***
1594534370 INTERNAL *** DAGMAN_STARTED 15.0 ***
1594534374 create_dir_Increment_0_local SUBMIT 16.0 local - 1
1594534375 create_dir_Increment_0_local EXECUTE 16.0 local - 1
1594534378 create_dir_Increment_0_local JOB_TERMINATED 16.0 local - 1
1594534379 create_dir_Increment_0_local JOB_SUCCESS 0 local - 1
1594534379 create_dir_Increment_0_local POST_SCRIPT_STARTED 16.0 local - 1
1594534379 create_dir_Increment_0_local POST_SCRIPT_TERMINATED 16.0 local - 1
1594534384 create_dir_Increment_0_local POST_SCRIPT_SUCCESS 0 local - 1
1594534389 stage_in_remote_local_0_0 SUBMIT 17.0 local - 2
1594534389 stage_in_local_local_0_0 SUBMIT 18.0 local - 3
1594534392 stage_in_remote_local_0_0 EXECUTE 17.0 local - 2
1594534392 stage_in_local_local_0_0 EXECUTE 18.0 local - 3
1594534394 stage_in_local_local_0_0 JOB_TERMINATED 18.0 local - 3
1594534399 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 3
1594534399 stage_in_local_local_0_0 POST_SCRIPT_STARTED 18.0 local - 3
1594534394 stage_in_remote_local_0_0 JOB_TERMINATED 17.0 local - 2
1594534399 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 2
1594534399 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 17.0 local - 2
1594534400 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 18.0 local - 3
1594534404 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1594534400 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 17.0 local - 2
1594534404 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1594534409 increment_py_ID0000001 SUBMIT 19.0 condorpool - 4
1594534416 increment_py_ID0000001 EXECUTE 19.0 condorpool - 4
1594534417 increment_py_ID0000001 JOB_TERMINATED 19.0 condorpool - 4
1594534419 increment_py_ID0000001 JOB_SUCCESS 0 condorpool - 4
1594534419 increment_py_ID0000001 POST_SCRIPT_STARTED 19.0 condorpool - 4
1594534419 increment_py_ID0000001 POST_SCRIPT_TERMINATED 19.0 condorpool - 4
1594534424 increment_py_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 4
1594534429 clean_up_local_level_3_0 SUBMIT 20.0 local - 5
1594534429 stage_out_local_local_0_0 SUBMIT 21.0 local - 6
1594534431 stage_out_local_local_0_0 EXECUTE 21.0 local - 6
1594534431 clean_up_local_level_3_0 EXECUTE 20.0 local - 5
1594534434 stage_out_local_local_0_0 JOB_TERMINATED 21.0 local - 6
1594534434 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 6
1594534434 stage_out_local_local_0_0 POST_SCRIPT_STARTED 21.0 local - 6
1594534434 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 21.0 local - 6
1594534439 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 6
1594534436 clean_up_local_level_3_0 JOB_TERMINATED 20.0 local - 5
1594534439 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 5
1594534439 clean_up_local_level_3_0 POST_SCRIPT_STARTED 20.0 local - 5
1594534440 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 20.0 local - 5
1594534444 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 5
1594534444 clean_up_local_level_4_0 SUBMIT 22.0 local - 7
1594534444 register_local_0_0 SUBMIT 23.0 local - 8
1594534449 register_local_0_0 EXECUTE 23.0 local - 8
1594534449 clean_up_local_level_4_0 EXECUTE 22.0 local - 7
1594534451 register_local_0_0 JOB_TERMINATED 23.0 local - 8
1594534454 register_local_0_0 JOB_SUCCESS 0 local - 8
1594534454 register_local_0_0 POST_SCRIPT_STARTED 23.0 local - 8
1594534451 clean_up_local_level_4_0 JOB_TERMINATED 22.0 local - 7
1594534454 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 7
1594534454 clean_up_local_level_4_0 POST_SCRIPT_STARTED 22.0 local - 7
1594534454 register_local_0_0 POST_SCRIPT_TERMINATED 23.0 local - 8
1594534459 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 8
1594534454 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 22.0 local - 7
1594534459 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 7
1594534464 cleanup_Increment_0_local SUBMIT 24.0 local - 9
1594534465 cleanup_Increment_0_local EXECUTE 24.0 local - 9
1594534467 cleanup_Increment_0_local JOB_TERMINATED 24.0 local - 9
1594534469 cleanup_Increment_0_local JOB_SUCCESS 0 local - 9
1594534469 cleanup_Increment_0_local POST_SCRIPT_STARTED 24.0 local - 9
1594534469 cleanup_Increment_0_local POST_SCRIPT_TERMINATED 24.0 local - 9
1594534474 cleanup_Increment_0_local POST_SCRIPT_SUCCESS 0 local - 9
1594534474 INTERNAL *** DAGMAN_FINISHED 0 ***
1594534476 INTERNAL *** MONITORD_FINISHED 0 ***
