1594670724 INTERNAL *** MONITORD_STARTED ***
1594670721 INTERNAL *** DAGMAN_STARTED 36.0 ***
1594670725 create_dir_Even_Odd_0_local SUBMIT 37.0 local - 1
1594670726 create_dir_Even_Odd_0_local EXECUTE 37.0 local - 1
1594670728 create_dir_Even_Odd_0_local JOB_TERMINATED 37.0 local - 1
1594670730 create_dir_Even_Odd_0_local JOB_SUCCESS 0 local - 1
1594670730 create_dir_Even_Odd_0_local POST_SCRIPT_STARTED 37.0 local - 1
1594670730 create_dir_Even_Odd_0_local POST_SCRIPT_TERMINATED 37.0 local - 1
1594670736 create_dir_Even_Odd_0_local POST_SCRIPT_SUCCESS 0 local - 1
1594670741 stage_in_remote_local_1_0 SUBMIT 38.0 local - 2
1594670741 stage_in_remote_local_0_0 SUBMIT 39.0 local - 3
1594670741 stage_in_local_local_0_0 SUBMIT 40.0 local - 4
1594670746 stage_in_local_local_0_0 EXECUTE 40.0 local - 4
1594670746 stage_in_remote_local_0_0 EXECUTE 39.0 local - 3
1594670746 stage_in_remote_local_1_0 EXECUTE 38.0 local - 2
1594670748 stage_in_remote_local_1_0 JOB_TERMINATED 38.0 local - 2
1594670751 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 2
1594670751 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 38.0 local - 2
1594670748 stage_in_remote_local_0_0 JOB_TERMINATED 39.0 local - 3
1594670751 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 3
1594670751 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 39.0 local - 3
1594670750 stage_in_local_local_0_0 JOB_TERMINATED 40.0 local - 4
1594670751 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 4
1594670751 stage_in_local_local_0_0 POST_SCRIPT_STARTED 40.0 local - 4
1594670751 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 39.0 local - 3
1594670756 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1594670751 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 38.0 local - 2
1594670756 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 2
1594670751 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 40.0 local - 4
1594670756 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1594670761 separate_py_ID0000001 SUBMIT 41.0 condorpool - 5
1594670771 separate_py_ID0000001 EXECUTE 41.0 condorpool - 5
1594670773 separate_py_ID0000001 JOB_TERMINATED 41.0 condorpool - 5
1594670776 separate_py_ID0000001 JOB_SUCCESS 0 condorpool - 5
1594670776 separate_py_ID0000001 POST_SCRIPT_STARTED 41.0 condorpool - 5
1594670777 separate_py_ID0000001 POST_SCRIPT_TERMINATED 41.0 condorpool - 5
1594670781 separate_py_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 5
1594670786 clean_up_local_level_3_0 SUBMIT 42.0 local - 6
1594670786 stage_out_local_local_0_0 SUBMIT 43.0 local - 7
1594670786 count_py_ID0000003 SUBMIT 44.0 condorpool - 8
1594670786 count_py_ID0000002 SUBMIT 45.0 condorpool - 9
1594670787 stage_out_local_local_0_0 EXECUTE 43.0 local - 7
1594670787 clean_up_local_level_3_0 EXECUTE 42.0 local - 6
1594670788 count_py_ID0000003 EXECUTE 44.0 condorpool - 8
1594670790 count_py_ID0000003 JOB_TERMINATED 44.0 condorpool - 8
1594670791 count_py_ID0000003 JOB_SUCCESS 0 condorpool - 8
1594670791 count_py_ID0000003 POST_SCRIPT_STARTED 44.0 condorpool - 8
1594670791 stage_out_local_local_0_0 JOB_TERMINATED 43.0 local - 7
1594670796 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 7
1594670796 stage_out_local_local_0_0 POST_SCRIPT_STARTED 43.0 local - 7
1594670791 count_py_ID0000003 POST_SCRIPT_TERMINATED 44.0 condorpool - 8
1594670797 count_py_ID0000003 POST_SCRIPT_SUCCESS 0 condorpool - 8
1594670793 count_py_ID0000002 EXECUTE 45.0 condorpool - 9
1594670794 count_py_ID0000002 JOB_TERMINATED 45.0 condorpool - 9
1594670797 count_py_ID0000002 JOB_SUCCESS 0 condorpool - 9
1594670797 count_py_ID0000002 POST_SCRIPT_STARTED 45.0 condorpool - 9
1594670797 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 43.0 local - 7
1594670802 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 7
1594670797 count_py_ID0000002 POST_SCRIPT_TERMINATED 45.0 condorpool - 9
1594670802 count_py_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 9
1594670799 clean_up_local_level_3_0 JOB_TERMINATED 42.0 local - 6
1594670802 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 6
1594670802 clean_up_local_level_3_0 POST_SCRIPT_STARTED 42.0 local - 6
1594670802 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 42.0 local - 6
1594670807 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 6
1594670807 clean_up_local_level_4_0 SUBMIT 46.0 local - 10
1594670807 stage_out_local_local_1_0 SUBMIT 47.0 local - 11
1594670807 register_local_0_0 SUBMIT 48.0 local - 12
1594670807 tar_ID0000004 SUBMIT 49.0 condorpool - 13
1594670809 tar_ID0000004 EXECUTE 49.0 condorpool - 13
1594670810 clean_up_local_level_4_0 EXECUTE 46.0 local - 10
1594670810 register_local_0_0 EXECUTE 48.0 local - 12
1594670810 stage_out_local_local_1_0 EXECUTE 47.0 local - 11
1594670810 tar_ID0000004 JOB_TERMINATED 49.0 condorpool - 13
1594670813 tar_ID0000004 JOB_SUCCESS 0 condorpool - 13
1594670813 tar_ID0000004 POST_SCRIPT_STARTED 49.0 condorpool - 13
1594670813 tar_ID0000004 POST_SCRIPT_TERMINATED 49.0 condorpool - 13
1594670818 tar_ID0000004 POST_SCRIPT_SUCCESS 0 condorpool - 13
1594670814 register_local_0_0 JOB_TERMINATED 48.0 local - 12
1594670818 register_local_0_0 JOB_SUCCESS 0 local - 12
1594670818 register_local_0_0 POST_SCRIPT_STARTED 48.0 local - 12
1594670815 stage_out_local_local_1_0 JOB_TERMINATED 47.0 local - 11
