1595003078 INTERNAL *** MONITORD_STARTED ***
1595003076 INTERNAL *** DAGMAN_STARTED 1.0 ***
1595003080 create_dir_add_thumbs_0_local SUBMIT 2.0 local - 1
1595003081 create_dir_add_thumbs_0_local EXECUTE 2.0 local - 1
1595003083 create_dir_add_thumbs_0_local JOB_TERMINATED 2.0 local - 1
1595003085 create_dir_add_thumbs_0_local JOB_SUCCESS 0 local - 1
1595003085 create_dir_add_thumbs_0_local POST_SCRIPT_STARTED 2.0 local - 1
1595003086 create_dir_add_thumbs_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1595003090 create_dir_add_thumbs_0_local POST_SCRIPT_SUCCESS 0 local - 1
1595003095 stage_in_local_local_0_0 SUBMIT 3.0 local - 2
1595003097 stage_in_local_local_0_0 EXECUTE 3.0 local - 2
1595003127 stage_in_local_local_0_0 JOB_TERMINATED 3.0 local - 2
1595003130 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1595003130 stage_in_local_local_0_0 POST_SCRIPT_STARTED 3.0 local - 2
1595003130 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 3.0 local - 2
1595003135 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1595003140 Thumbs_up_ID0000001 SUBMIT 4.0 condorpool - 3
1595003153 Thumbs_up_ID0000001 EXECUTE 4.0 condorpool - 3
1595003159 Thumbs_up_ID0000001 JOB_TERMINATED 4.0 condorpool - 3
1595003160 Thumbs_up_ID0000001 JOB_SUCCESS 0 condorpool - 3
1595003160 Thumbs_up_ID0000001 POST_SCRIPT_STARTED 4.0 condorpool - 3
1595003160 Thumbs_up_ID0000001 POST_SCRIPT_TERMINATED 4.0 condorpool - 3
1595003165 Thumbs_up_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 3
1595003170 clean_up_local_level_3_0 SUBMIT 5.0 local - 4
1595003170 stage_out_local_local_0_0 SUBMIT 6.0 local - 5
1595003174 stage_out_local_local_0_0 EXECUTE 6.0 local - 5
1595003174 clean_up_local_level_3_0 EXECUTE 5.0 local - 4
1595003176 stage_out_local_local_0_0 JOB_TERMINATED 6.0 local - 5
1595003180 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 5
1595003180 stage_out_local_local_0_0 POST_SCRIPT_STARTED 6.0 local - 5
1595003178 clean_up_local_level_3_0 JOB_TERMINATED 5.0 local - 4
1595003180 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 4
1595003180 clean_up_local_level_3_0 POST_SCRIPT_STARTED 5.0 local - 4
1595003181 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 6.0 local - 5
1595003185 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1595003181 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 5.0 local - 4
1595003185 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 4
1595003190 clean_up_local_level_4_0 SUBMIT 7.0 local - 6
1595003190 register_local_0_0 SUBMIT 8.0 local - 7
1595003191 register_local_0_0 EXECUTE 8.0 local - 7
1595003191 clean_up_local_level_4_0 EXECUTE 7.0 local - 6
1595003193 clean_up_local_level_4_0 JOB_TERMINATED 7.0 local - 6
1595003195 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 6
1595003195 clean_up_local_level_4_0 POST_SCRIPT_STARTED 7.0 local - 6
1595003193 register_local_0_0 JOB_TERMINATED 8.0 local - 7
1595003195 register_local_0_0 JOB_SUCCESS 0 local - 7
1595003195 register_local_0_0 POST_SCRIPT_STARTED 8.0 local - 7
1595003195 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 7.0 local - 6
1595003200 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 6
1595003195 register_local_0_0 POST_SCRIPT_TERMINATED 8.0 local - 7
1595003200 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 7
1595003205 cleanup_add_thumbs_0_local SUBMIT 9.0 local - 8
1595003207 cleanup_add_thumbs_0_local EXECUTE 9.0 local - 8
1595003209 cleanup_add_thumbs_0_local JOB_TERMINATED 9.0 local - 8
1595003210 cleanup_add_thumbs_0_local JOB_SUCCESS 0 local - 8
1595003210 cleanup_add_thumbs_0_local POST_SCRIPT_STARTED 9.0 local - 8
1595003210 cleanup_add_thumbs_0_local POST_SCRIPT_TERMINATED 9.0 local - 8
1595003215 cleanup_add_thumbs_0_local POST_SCRIPT_SUCCESS 0 local - 8
1595003215 INTERNAL *** DAGMAN_FINISHED 0 ***
1595003217 INTERNAL *** MONITORD_FINISHED 0 ***
