1595268702 INTERNAL *** MONITORD_STARTED ***
1595268700 INTERNAL *** DAGMAN_STARTED 61.0 ***
1595268704 create_dir_checkpoint-wf_0_local SUBMIT 62.0 local - 1
1595268705 create_dir_checkpoint-wf_0_local EXECUTE 62.0 local - 1
1595268707 create_dir_checkpoint-wf_0_local JOB_TERMINATED 62.0 local - 1
1595268709 create_dir_checkpoint-wf_0_local JOB_SUCCESS 0 local - 1
1595268709 create_dir_checkpoint-wf_0_local POST_SCRIPT_STARTED 62.0 local - 1
1595268709 create_dir_checkpoint-wf_0_local POST_SCRIPT_TERMINATED 62.0 local - 1
1595268714 create_dir_checkpoint-wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1595268719 stage_in_remote_local_0_0 SUBMIT 63.0 local - 2
1595268719 stage_in_local_local_0_0 SUBMIT 64.0 local - 3
1595268722 stage_in_local_local_0_0 EXECUTE 64.0 local - 3
1595268722 stage_in_remote_local_0_0 EXECUTE 63.0 local - 2
1595268724 stage_in_remote_local_0_0 JOB_TERMINATED 63.0 local - 2
1595268724 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 2
1595268724 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 63.0 local - 2
1595268724 stage_in_local_local_0_0 JOB_TERMINATED 64.0 local - 3
1595268724 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 3
1595268724 stage_in_local_local_0_0 POST_SCRIPT_STARTED 64.0 local - 3
1595268725 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 63.0 local - 2
1595268729 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1595268725 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 64.0 local - 3
1595268729 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1595268734 print_nums1_py_ID0000001 SUBMIT 65.0 condorpool - 4
1595268740 print_nums1_py_ID0000001 EXECUTE 65.0 condorpool - 4
1595268741 print_nums1_py_ID0000001 JOB_TERMINATED 65.0 condorpool - 4
1595268744 print_nums1_py_ID0000001 JOB_FAILURE 1 condorpool - 4
1595268744 print_nums1_py_ID0000001 POST_SCRIPT_STARTED 65.0 condorpool - 4
1595268744 print_nums1_py_ID0000001 POST_SCRIPT_TERMINATED 65.0 condorpool - 4
1595268749 print_nums1_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 4
1595268754 print_nums1_py_ID0000001 SUBMIT 66.0 condorpool - 5
1595268755 print_nums1_py_ID0000001 EXECUTE 66.0 condorpool - 5
1595268756 print_nums1_py_ID0000001 JOB_TERMINATED 66.0 condorpool - 5
1595268759 print_nums1_py_ID0000001 JOB_FAILURE 1 condorpool - 5
1595268759 print_nums1_py_ID0000001 POST_SCRIPT_STARTED 66.0 condorpool - 5
1595268759 print_nums1_py_ID0000001 POST_SCRIPT_TERMINATED 66.0 condorpool - 5
1595268764 print_nums1_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 5
1595268769 print_nums1_py_ID0000001 SUBMIT 67.0 condorpool - 6
1595268771 print_nums1_py_ID0000001 EXECUTE 67.0 condorpool - 6
1595268772 print_nums1_py_ID0000001 JOB_TERMINATED 67.0 condorpool - 6
1595268774 print_nums1_py_ID0000001 JOB_FAILURE 1 condorpool - 6
1595268774 print_nums1_py_ID0000001 POST_SCRIPT_STARTED 67.0 condorpool - 6
1595268774 print_nums1_py_ID0000001 POST_SCRIPT_TERMINATED 67.0 condorpool - 6
1595268779 print_nums1_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 6
1595268785 print_nums1_py_ID0000001 SUBMIT 68.0 condorpool - 7
1595268786 print_nums1_py_ID0000001 EXECUTE 68.0 condorpool - 7
1595268787 print_nums1_py_ID0000001 JOB_TERMINATED 68.0 condorpool - 7
1595268790 print_nums1_py_ID0000001 JOB_FAILURE 1 condorpool - 7
1595268790 print_nums1_py_ID0000001 POST_SCRIPT_STARTED 68.0 condorpool - 7
1595268790 print_nums1_py_ID0000001 POST_SCRIPT_TERMINATED 68.0 condorpool - 7
1595268795 print_nums1_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 7
1595268800 print_nums1_py_ID0000001 SUBMIT 69.0 condorpool - 8
1595268801 print_nums1_py_ID0000001 EXECUTE 69.0 condorpool - 8
1595268802 print_nums1_py_ID0000001 JOB_TERMINATED 69.0 condorpool - 8
1595268805 print_nums1_py_ID0000001 JOB_FAILURE 1 condorpool - 8
1595268805 print_nums1_py_ID0000001 POST_SCRIPT_STARTED 69.0 condorpool - 8
1595268805 print_nums1_py_ID0000001 POST_SCRIPT_TERMINATED 69.0 condorpool - 8
1595268810 print_nums1_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 8
1595268815 print_nums1_py_ID0000001 SUBMIT 70.0 condorpool - 9
1595268816 print_nums1_py_ID0000001 EXECUTE 70.0 condorpool - 9
1595268817 print_nums1_py_ID0000001 JOB_TERMINATED 70.0 condorpool - 9
1595268820 print_nums1_py_ID0000001 JOB_FAILURE 1 condorpool - 9
1595268820 print_nums1_py_ID0000001 POST_SCRIPT_STARTED 70.0 condorpool - 9
1595268820 print_nums1_py_ID0000001 POST_SCRIPT_TERMINATED 70.0 condorpool - 9
1595268825 print_nums1_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 9
1595268825 INTERNAL *** DAGMAN_FINISHED 1 ***
1595268828 INTERNAL *** MONITORD_FINISHED 0 ***
