1594417508 INTERNAL *** MONITORD_STARTED ***
1594417506 INTERNAL *** DAGMAN_STARTED 1.0 ***
1594417510 create_dir_blackdiamond_0_local SUBMIT 2.0 local - 1
1594417511 create_dir_blackdiamond_0_local EXECUTE 2.0 local - 1
1594417514 create_dir_blackdiamond_0_local JOB_TERMINATED 2.0 local - 1
1594417515 create_dir_blackdiamond_0_local JOB_SUCCESS 0 local - 1
1594417515 create_dir_blackdiamond_0_local POST_SCRIPT_STARTED 2.0 local - 1
1594417516 create_dir_blackdiamond_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1594417520 create_dir_blackdiamond_0_local POST_SCRIPT_SUCCESS 0 local - 1
1594417525 stage_in_local_local_0_0 SUBMIT 3.0 local - 2
1594417527 stage_in_local_local_0_0 EXECUTE 3.0 local - 2
1594417529 stage_in_local_local_0_0 JOB_TERMINATED 3.0 local - 2
1594417530 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1594417530 stage_in_local_local_0_0 POST_SCRIPT_STARTED 3.0 local - 2
1594417530 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 3.0 local - 2
1594417535 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1594417540 preprocess_ID0000001 SUBMIT 4.0 condorpool - 3
1594417550 preprocess_ID0000001 EXECUTE 4.0 condorpool - 3
1594417554 preprocess_ID0000001 JOB_TERMINATED 4.0 condorpool - 3
1594417555 preprocess_ID0000001 JOB_SUCCESS 0 condorpool - 3
1594417555 preprocess_ID0000001 POST_SCRIPT_STARTED 4.0 condorpool - 3
1594417555 preprocess_ID0000001 POST_SCRIPT_TERMINATED 4.0 condorpool - 3
1594417560 preprocess_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 3
1594417565 clean_up_local_level_3_0 SUBMIT 5.0 local - 4
1594417565 stage_out_local_local_0_0 SUBMIT 6.0 local - 5
1594417566 findrange_ID0000003 SUBMIT 7.0 condorpool - 6
1594417566 findrange_ID0000002 SUBMIT 8.0 condorpool - 7
1594417567 findrange_ID0000003 EXECUTE 7.0 condorpool - 6
1594417570 stage_out_local_local_0_0 EXECUTE 6.0 local - 5
1594417570 clean_up_local_level_3_0 EXECUTE 5.0 local - 4
1594417571 findrange_ID0000003 JOB_TERMINATED 7.0 condorpool - 6
1594417576 findrange_ID0000003 JOB_SUCCESS 0 condorpool - 6
1594417576 findrange_ID0000003 POST_SCRIPT_STARTED 7.0 condorpool - 6
1594417573 clean_up_local_level_3_0 JOB_TERMINATED 5.0 local - 4
1594417576 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 4
1594417576 clean_up_local_level_3_0 POST_SCRIPT_STARTED 5.0 local - 4
1594417574 findrange_ID0000002 EXECUTE 8.0 condorpool - 7
1594417575 stage_out_local_local_0_0 JOB_TERMINATED 6.0 local - 5
1594417576 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 5
1594417576 stage_out_local_local_0_0 POST_SCRIPT_STARTED 6.0 local - 5
1594417576 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 5.0 local - 4
1594417581 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 4
1594417576 findrange_ID0000003 POST_SCRIPT_TERMINATED 7.0 condorpool - 6
1594417581 findrange_ID0000003 POST_SCRIPT_SUCCESS 0 condorpool - 6
1594417576 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 6.0 local - 5
1594417581 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1594417578 findrange_ID0000002 JOB_TERMINATED 8.0 condorpool - 7
1594417581 findrange_ID0000002 JOB_SUCCESS 0 condorpool - 7
1594417581 findrange_ID0000002 POST_SCRIPT_STARTED 8.0 condorpool - 7
1594417581 findrange_ID0000002 POST_SCRIPT_TERMINATED 8.0 condorpool - 7
1594417586 findrange_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 7
1594417586 register_local_0_0 SUBMIT 9.0 local - 8
1594417587 register_local_0_0 EXECUTE 9.0 local - 8
1594417589 register_local_0_0 JOB_TERMINATED 9.0 local - 8
1594417591 register_local_0_0 JOB_SUCCESS 0 local - 8
1594417591 register_local_0_0 POST_SCRIPT_STARTED 9.0 local - 8
1594417591 clean_up_local_level_4_0 SUBMIT 10.0 local - 9
1594417591 clean_up_local_level_4_0 EXECUTE 10.0 local - 9
1594417591 stage_out_local_local_1_0 SUBMIT 11.0 local - 10
1594417591 analyze_ID0000004 SUBMIT 12.0 condorpool - 11
1594417592 register_local_0_0 POST_SCRIPT_TERMINATED 9.0 local - 8
1594417596 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 8
1594417593 stage_out_local_local_1_0 EXECUTE 11.0 local - 10
1594417593 analyze_ID0000004 EXECUTE 12.0 condorpool - 11
1594417596 clean_up_local_level_4_0 JOB_TERMINATED 10.0 local - 9
1594417596 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 9
1594417596 clean_up_local_level_4_0 POST_SCRIPT_STARTED 10.0 local - 9
