1595265088 INTERNAL *** MONITORD_STARTED ***
1595265086 INTERNAL *** DAGMAN_STARTED 77.0 ***
1595265090 create_dir_checkpoint-wf_0_local SUBMIT 78.0 local - 1
1595265092 create_dir_checkpoint-wf_0_local EXECUTE 78.0 local - 1
1595265094 create_dir_checkpoint-wf_0_local JOB_TERMINATED 78.0 local - 1
1595265095 create_dir_checkpoint-wf_0_local JOB_SUCCESS 0 local - 1
1595265095 create_dir_checkpoint-wf_0_local POST_SCRIPT_STARTED 78.0 local - 1
1595265096 create_dir_checkpoint-wf_0_local POST_SCRIPT_TERMINATED 78.0 local - 1
1595265100 create_dir_checkpoint-wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1595265105 stage_in_remote_local_0_0 SUBMIT 79.0 local - 2
1595265105 stage_in_local_local_0_0 SUBMIT 80.0 local - 3
1595265108 stage_in_remote_local_0_0 EXECUTE 79.0 local - 2
1595265108 stage_in_local_local_0_0 EXECUTE 80.0 local - 3
1595265111 stage_in_local_local_0_0 JOB_TERMINATED 80.0 local - 3
1595265115 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 3
1595265115 stage_in_local_local_0_0 POST_SCRIPT_STARTED 80.0 local - 3
1595265111 stage_in_remote_local_0_0 JOB_TERMINATED 79.0 local - 2
1595265115 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 2
1595265115 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 79.0 local - 2
1595265115 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 80.0 local - 3
1595265120 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1595265115 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 79.0 local - 2
1595265120 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1595265125 checkpoint_program_py_ID0000001 SUBMIT 81.0 condorpool - 4
1595265136 checkpoint_program_py_ID0000001 EXECUTE 81.0 condorpool - 4
1595265227 checkpoint_program_py_ID0000001 JOB_TERMINATED 81.0 condorpool - 4
1595265230 checkpoint_program_py_ID0000001 JOB_FAILURE 14 condorpool - 4
1595265230 checkpoint_program_py_ID0000001 POST_SCRIPT_STARTED 81.0 condorpool - 4
1595265230 checkpoint_program_py_ID0000001 POST_SCRIPT_TERMINATED 81.0 condorpool - 4
1595265235 checkpoint_program_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 4
1595265241 checkpoint_program_py_ID0000001 SUBMIT 82.0 condorpool - 5
1595265242 checkpoint_program_py_ID0000001 EXECUTE 82.0 condorpool - 5
1595265333 checkpoint_program_py_ID0000001 JOB_TERMINATED 82.0 condorpool - 5
1595265336 checkpoint_program_py_ID0000001 JOB_FAILURE 14 condorpool - 5
1595265336 checkpoint_program_py_ID0000001 POST_SCRIPT_STARTED 82.0 condorpool - 5
1595265336 checkpoint_program_py_ID0000001 POST_SCRIPT_TERMINATED 82.0 condorpool - 5
1595265341 checkpoint_program_py_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 5
1595265346 checkpoint_program_py_ID0000001 SUBMIT 83.0 condorpool - 6
1595265347 checkpoint_program_py_ID0000001 EXECUTE 83.0 condorpool - 6
