1597093392 INTERNAL *** MONITORD_STARTED ***
1597093390 INTERNAL *** DAGMAN_STARTED 65.0 ***
1597093394 create_dir_harry-potter-text-analysis_0_local SUBMIT 66.0 local - 1
1597093395 create_dir_harry-potter-text-analysis_0_local EXECUTE 66.0 local - 1
1597093397 create_dir_harry-potter-text-analysis_0_local JOB_TERMINATED 66.0 local - 1
1597093399 create_dir_harry-potter-text-analysis_0_local JOB_SUCCESS 0 local - 1
1597093399 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_STARTED 66.0 local - 1
1597093399 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_TERMINATED 66.0 local - 1
1597093404 create_dir_harry-potter-text-analysis_0_local POST_SCRIPT_SUCCESS 0 local - 1
1597093410 stage_in_remote_local_2_0 SUBMIT 67.0 local - 2
1597093410 stage_in_remote_local_1_0 SUBMIT 68.0 local - 3
1597093410 stage_in_remote_local_0_0 SUBMIT 69.0 local - 4
1597093410 stage_in_local_local_0_0 SUBMIT 70.0 local - 5
1597093412 stage_in_remote_local_1_0 EXECUTE 68.0 local - 3
1597093412 stage_in_local_local_0_0 EXECUTE 70.0 local - 5
1597093412 stage_in_remote_local_2_0 EXECUTE 67.0 local - 2
1597093412 stage_in_remote_local_0_0 EXECUTE 69.0 local - 4
1597093415 stage_in_remote_local_2_0 JOB_TERMINATED 67.0 local - 2
1597093420 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 2
1597093420 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 67.0 local - 2
1597093415 stage_in_remote_local_1_0 JOB_TERMINATED 68.0 local - 3
1597093420 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 3
1597093420 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 68.0 local - 3
1597093415 stage_in_remote_local_0_0 JOB_TERMINATED 69.0 local - 4
1597093420 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 4
1597093420 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 69.0 local - 4
1597093415 stage_in_local_local_0_0 JOB_TERMINATED 70.0 local - 5
1597093420 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 5
1597093420 stage_in_local_local_0_0 POST_SCRIPT_STARTED 70.0 local - 5
1597093420 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 67.0 local - 2
1597093425 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 2
1597093420 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 68.0 local - 3
1597093425 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1597093420 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 70.0 local - 5
1597093425 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1597093420 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 69.0 local - 4
1597093425 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1597093430 word_count_ID0000001 SUBMIT 71.0 condorpool - 6
1597093438 word_count_ID0000001 EXECUTE 71.0 condorpool - 6
1597093439 word_count_ID0000001 JOB_TERMINATED 71.0 condorpool - 6
1597093440 word_count_ID0000001 JOB_SUCCESS 0 condorpool - 6
1597093440 word_count_ID0000001 POST_SCRIPT_STARTED 71.0 condorpool - 6
1597093440 word_count_ID0000001 POST_SCRIPT_TERMINATED 71.0 condorpool - 6
1597093445 word_count_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 6
1597093450 clean_up_local_level_3_0 SUBMIT 72.0 local - 7
1597093450 stage_out_local_local_0_0 SUBMIT 73.0 local - 8
1597093451 sort_ID0000002 SUBMIT 74.0 condorpool - 9
1597093452 sort_ID0000002 EXECUTE 74.0 condorpool - 9
1597093453 sort_ID0000002 JOB_TERMINATED 74.0 condorpool - 9
1597093456 sort_ID0000002 JOB_SUCCESS 0 condorpool - 9
1597093456 sort_ID0000002 POST_SCRIPT_STARTED 74.0 condorpool - 9
1597093455 clean_up_local_level_3_0 EXECUTE 72.0 local - 7
1597093455 stage_out_local_local_0_0 EXECUTE 73.0 local - 8
1597093456 sort_ID0000002 POST_SCRIPT_TERMINATED 74.0 condorpool - 9
1597093461 sort_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 9
1597093457 stage_out_local_local_0_0 JOB_TERMINATED 73.0 local - 8
1597093461 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 8
1597093461 stage_out_local_local_0_0 POST_SCRIPT_STARTED 73.0 local - 8
1597093459 clean_up_local_level_3_0 JOB_TERMINATED 72.0 local - 7
1597093461 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 7
1597093461 clean_up_local_level_3_0 POST_SCRIPT_STARTED 72.0 local - 7
1597093461 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 73.0 local - 8
1597093466 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 8
