1594352905 INTERNAL *** MONITORD_STARTED ***
1594352904 INTERNAL *** DAGMAN_STARTED 1.0 ***
1594352908 create_dir_hello-world_0_local SUBMIT 2.0 local - 1
1594352909 create_dir_hello-world_0_local EXECUTE 2.0 local - 1
1594352912 create_dir_hello-world_0_local JOB_TERMINATED 2.0 local - 1
1594352913 create_dir_hello-world_0_local JOB_SUCCESS 0 local - 1
1594352913 create_dir_hello-world_0_local POST_SCRIPT_STARTED 2.0 local - 1
1594352913 create_dir_hello-world_0_local POST_SCRIPT_TERMINATED 2.0 local - 1
1594352918 create_dir_hello-world_0_local POST_SCRIPT_SUCCESS 0 local - 1
1594352923 stage_in_local_local_0_0 SUBMIT 3.0 local - 2
1594352926 stage_in_local_local_0_0 EXECUTE 3.0 local - 2
1594352928 stage_in_local_local_0_0 JOB_TERMINATED 3.0 local - 2
1594352929 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1594352929 stage_in_local_local_0_0 POST_SCRIPT_STARTED 3.0 local - 2
1594352929 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 3.0 local - 2
1594352934 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1594352939 echo_ID0000001 SUBMIT 4.0 condorpool - 3
1594352945 echo_ID0000001 EXECUTE 4.0 condorpool - 3
1594352946 echo_ID0000001 JOB_TERMINATED 4.0 condorpool - 3
1594352949 echo_ID0000001 JOB_SUCCESS 0 condorpool - 3
1594352949 echo_ID0000001 POST_SCRIPT_STARTED 4.0 condorpool - 3
1594352949 echo_ID0000001 POST_SCRIPT_TERMINATED 4.0 condorpool - 3
1594352954 echo_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 3
1594352959 clean_up_local_level_3_0 SUBMIT 5.0 local - 4
1594352959 stage_out_local_local_0_0 SUBMIT 6.0 local - 5
1594352964 clean_up_local_level_3_0 EXECUTE 5.0 local - 4
1594352964 stage_out_local_local_0_0 EXECUTE 6.0 local - 5
1594352966 clean_up_local_level_3_0 JOB_TERMINATED 5.0 local - 4
1594352969 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 4
1594352969 clean_up_local_level_3_0 POST_SCRIPT_STARTED 5.0 local - 4
1594352966 stage_out_local_local_0_0 JOB_TERMINATED 6.0 local - 5
1594352969 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 5
1594352969 stage_out_local_local_0_0 POST_SCRIPT_STARTED 6.0 local - 5
1594352969 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 5.0 local - 4
1594352974 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 4
1594352969 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 6.0 local - 5
1594352974 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1594352979 clean_up_local_level_4_0 SUBMIT 7.0 local - 6
1594352979 register_local_0_0 SUBMIT 8.0 local - 7
1594352981 register_local_0_0 EXECUTE 8.0 local - 7
1594352981 clean_up_local_level_4_0 EXECUTE 7.0 local - 6
1594352982 register_local_0_0 JOB_TERMINATED 8.0 local - 7
1594352985 register_local_0_0 JOB_SUCCESS 0 local - 7
1594352985 register_local_0_0 POST_SCRIPT_STARTED 8.0 local - 7
1594352983 clean_up_local_level_4_0 JOB_TERMINATED 7.0 local - 6
1594352985 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 6
1594352985 clean_up_local_level_4_0 POST_SCRIPT_STARTED 7.0 local - 6
1594352985 register_local_0_0 POST_SCRIPT_TERMINATED 8.0 local - 7
1594352990 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 7
1594352985 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 7.0 local - 6
1594352990 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 6
1594352995 cleanup_hello-world_0_local SUBMIT 9.0 local - 8
1594352997 cleanup_hello-world_0_local EXECUTE 9.0 local - 8
1594352999 cleanup_hello-world_0_local JOB_TERMINATED 9.0 local - 8
1594353000 cleanup_hello-world_0_local JOB_SUCCESS 0 local - 8
1594353000 cleanup_hello-world_0_local POST_SCRIPT_STARTED 9.0 local - 8
1594353000 cleanup_hello-world_0_local POST_SCRIPT_TERMINATED 9.0 local - 8
1594353005 cleanup_hello-world_0_local POST_SCRIPT_SUCCESS 0 local - 8
1594353005 INTERNAL *** DAGMAN_FINISHED 0 ***
1594353006 INTERNAL *** MONITORD_FINISHED 0 ***
